,id,nct_id,outcome_type,measure,time_frame,population,description
117,271984452,NCT03319563,secondary,The number of tachycardic episodes,intraoperative,,"defined as more than 25% rise of HR than the basal, provided as total number"
118,273298075,NCT05843916,secondary,"To characterize the safety of AGA BETA BS treatment in participants with Fabry disease previously stabilized with Fabrazyme® through the analysis of physical assessments, adverse events and infusion-related reactions.",54 weeks,,"Analysis of data obtained from clinical and physical assessments, and from reported adverse events and infusion-related reactions throughout the clinical trial. This outcome will be measured in terms of Presence/Absence of relevant clinical findings."
119,271996181,NCT02792959,secondary,Descriptive Statistics of Relative Variations of PET Parameter SUL by Response as Per RECIST V1.1,"After one cycle of chemotherapy, 3 weeks",,"In this section, only the maximum values of the PET parameters (SUVmax, MTV, SUVN, SUL, TLG) and the minimum values of the MRI parameters (ADC) of each patient were taken into account for all lesions present at each evaluation time (pre-therapy, after 1 cycle of chemotherapy, after 4 cycles of chemotherapy. In other words, for each patient, the highest value of SUVmax, MTV, SUVN, SUL, TLG and the lowest ADC value was taken into account in the analyses.

Relative variations has been calculated as the difference between the values collected after 1 or 4 cycles (C1 or C4) of chemotherapy and the pre-therapeutic value (C0) divided by the pre-therapeutic value (C0)."
120,271680346,NCT03043560,secondary,World Health Organization Disability Assessment Schedule 2.0 (WHODAS 2.0),baseline and 5 weeks,,"A 12-item generic assessment instrument that measures the level of functioning. Each item is scored from 0 to 4 and the items are summed to provide a total score. The score therefore ranges from 0 to 48, with higher scores indicating greater disability."
121,272416127,NCT05643482,secondary,Number of participants who missed the treatment,5 weeks,,The count of participants who missed the treatment is assessed.
122,271723453,NCT05505422,other,Forced expiratory volume at 1 second (FEV1) at 1 year,1 year,,
123,271717074,NCT02862600,secondary,Change From Baseline in the Six-minute Walk Test at the End of Period 1,end of Period 1 (Week 8),,"At the conclusion of 8 weeks of perhexiline treatment, 6MWD was measured and compared to 6MWD measured at baseline."
124,272151946,NCT04465331,secondary,knowledge of emotional state measured by questionnaire HAD (Hospital Anxiety and Depression Scale ),Day 0,,"The Hospital Anxiety and Depression Scale (HADS) is a valid and reliable self-rating scale that measures anxiety and depression in both hospital and community settings. HADS gives clinically meaningful results as a psychological screening tool and can assess the symptom severity and caseness of anxiety disorders and depression in patients with illness and the general population.

One questionnaire, comprising fourteen questions. Each item on the questionnaire is scored from 0-3 and this means that a person can score between 0 and 21 for either anxiety or depression.

Scoring : 0-7- normal, 8-10-borderling abnormal, 11-21-abnormal"
125,273123854,NCT03579628,primary,Determine dose-limiting toxicities (DLTs) and maximum tolerated dose (MTD) of iv infusions of AsiDNA.,At Cycle 1 (a cycle is 21 days for Part A and 28 days for Part B) for all patients,,"DLTs will be based on the toxicities observed during the first 3 weeks of study treatment (i.e, cycle 1: from Day 1 to Day 21) for Part A and during the 4 weeks of study treatment (i.e, cycle 1: from Day 1 to Day 28) for Part B.

MTD is defined as the dose immediately below the unacceptable dose or defined as the highest tested dose if no DLT observed at this dose."
126,273540092,NCT02884570,primary,Anxiety and Depression,"Through study completion, up to 6 months",,Auto-questionnaire Hospital Anxiety and Depression Scale HADS
127,272665740,NCT05463978,primary,To evaluate safety of Sculptra Aesthetic when used in non-facial areas,January 2018 to 2022,,AEs related to the product or injection procedure reported in the medical chart
128,273339968,NCT03375918,secondary,Quality of Communication,up to 3 months after the intervention,,"Health Care Climate Questionnaire

Six-item scale assesses beliefs regarding perceived provider support for autonomy and provider communicated care. Each item is evaluated on 7-point Likert scale (1 - 5 strongly agree, neutral, strongly disagree). Scores are calculated by averaging individual item scores. (Williams 1998 (a); Williams 1998(b))

Reference. Williams GC, Rodin GC, Ryan RM, Grolnick WS, Deci EL. Autonomous regulation and long-term medication adherence in adult outpatients. Health Psychol. 1998;17(3):269-276. doi:10.1037/0278-6133.17.3.269.

Williams GC, Freedman ZR, Deci EL. Supporting autonomy to motivate patients with diabetes for glucose control. Diabetes Care. 1998;21(10):1644-1651. doi:10.2337/diacare.21.10.1644"
129,273083537,NCT03922217,primary,EMA Depression Scale,"Change from baseline, established during the 4 weeks preceding the intervention, which will be measured in the 4 weeks following completion of the intervention",,Scale Range: 0-8 (0-no depressive symptoms; 8-worst depressive symptoms measurable with this scale)
130,273111619,NCT04083235,secondary,Overall Response Rate (ORR),From study start until 543 OS events have occurred (approximately 15 months after last patient enrollment),,
131,272939331,NCT03381300,other,Ovarian cells versus peripheral lymphocytes,Up to 3 years after inclusion,,The incidence of germ cell mosaicism (i.e. ovarian cells versus peripheral lymphocytes and buccal cells)
132,272379575,NCT02046122,secondary,Disease Free Survival,one year following adoptive transfer,,1 year disease free survival rate following adoptive transfer
133,273949589,NCT00709020,primary,Pharmacokinetics of C-18 unsaturated fatty acids (CUFA) as measured by high-performance liquid chromatography tandem-mass spectrometry,"Pre-dose and at 0.25, 0.5, 0.75, 1, 2, 4 and 6 hours after White Button Mushroon extract on day 1 of treatment and pre-dose on days 8, 15, 29, 57 and 85 after start of treatment.",,
134,272738022,NCT01108666,primary,Feasibility of Proton Radiation,10 days,,Ability to successfully plan proton plans
135,274235375,NCT00144170,secondary,Virologic Response at Week 80,Week 80,,Virologic response defined as Viral Load<50 copies/mL
136,272126695,NCT04448431,secondary,Change in Q-LES-Q leisure time activities subscale,From baseline to Week 8,,"The original Q-LES-Q is a patient self-rated scale designed to measure the degree of enjoyment and satisfaction experienced by patients in various areas of daily life. It consists of 93 items to measure: physical health, feelings, work, household duties, school, leisure time activities, social relations, and general activities. Each item is rated on a 5-point scale ranging from 1 (very poor) to 5 (very good)"
137,272040348,NCT02433249,secondary,Change in readiness,Baseline; 1 week post; 6 months post,,Index of Readiness
138,271668178,NCT03840447,secondary,Evaluation of the wellbeing between baseline and 6 months,6 months,,"Evaluate the change in depression with questionnaire PHQ-8. It consists of eight of the nine criteria on which the DSM-IV diagnosis of depressive disorders is based: depressed mood or irritable, decreased interest or pleasure, significant weight change (5%) or change in appetite, change in sleep, change in activity, fatigue or loss of energy, guilt/worthlessness and concentration. The subject is asked to indicate how often she/he had this problem over the last two week. Each criteria scores as ""0"" (not at all), ""1"" (several days), ""2"" (more than half of days) or ""3"" (nearly every day). Score is the sum of the 8 items. A score of 10 or greater is considered major depression, 20 or more is severe major depression"
139,272543271,NCT01531205,secondary,Incidence of Detecting Circulating Tumor Cells (CTC),One Year,,To determine the feasibility of detecting circulating tumor cells in this patient population. CTC results per patient in milliliters.
140,273106122,NCT05846984,primary,Change in Caregiver Self-Efficacy,Change from baseline to post-intervention survey 1 (within 2 weeks of completion); change from baseline to post-intervention survey 2 (3 months post-intervention); change from baseline to post-intervention survey 3 (6 months post-intervention),,"Self-efficacy will be measured using the 8-item Caregiver Self-Efficacy Scale (CSES-8; α=0.88 to 0.89; Ritter et al., 2020) Participants are asked to rate on a scale of 1 to 10 how confident they are with 8 aspects of caregiving (e.g., controlling upsetting thoughts). Scores range from 8 to 80, where higher scores indicate higher levels of caregiver self-efficacy. The outcome measure will use the average change score from baseline scores until each post-intervention survey (i.e., post-intervention, 3 months post-intervention, 6 months post-intervention)."
